gauge,date,daily_temp
RVB,5/30/2007,67.425
RVB,5/31/2007,66.59166667
RVB,6/1/2007,66.55
RVB,6/2/2007,66.77916667
RVB,6/3/2007,67.24166667
RVB,6/4/2007,67.55
RVB,6/5/2007,67.84583333
RVB,6/6/2007,67.4375
RVB,6/7/2007,68.0875
RVB,6/8/2007,68.94705882
RVB,6/9/2007,69.33181818
RVB,6/10/2007,69.64166667
RVB,6/11/2007,69.65833333
RVB,6/12/2007,71.39583333
RVB,6/13/2007,71.20416667
RVB,6/14/2007,72.3375
RVB,6/15/2007,73.35416667
RVB,6/16/2007,73.62916667
RVB,6/17/2007,73.525
RVB,6/18/2007,74
RVB,6/19/2007,73.925
RVB,6/20/2007,73.23913043
RVB,6/21/2007,72.42083333
RVB,6/22/2007,72.05416667
RVB,6/23/2007,71.7875
RVB,6/24/2007,71.225
RVB,6/25/2007,71
RVB,6/26/2007,71.46666667
RVB,6/27/2007,71.64166667
RVB,6/28/2007,71.36666667
RVB,6/29/2007,71.22916667
RVB,6/30/2007,71.1875
RVB,7/1/2007,70.9625
RVB,7/2/2007,70.5625
RVB,7/3/2007,70.60434783
RVB,7/4/2007,71.15217391
RVB,7/5/2007,72.2375
RVB,7/6/2007,73.175
RVB,7/7/2007,73.10833333
RVB,7/8/2007,72.9375
RVB,7/9/2007,72.92916667
RVB,7/10/2007,72.44166667
RVB,7/11/2007,71.50416667
RVB,7/12/2007,70.9125
RVB,7/13/2007,70.63333333
RVB,7/14/2007,70.83333333
RVB,7/15/2007,70.90869565
RVB,7/16/2007,71.0625
RVB,7/17/2007,70.85
RVB,7/18/2007,69.13333333
RVB,7/19/2007,70.22916667
RVB,7/20/2007,70.35
RVB,7/21/2007,70.3125
RVB,7/22/2007,70.47083333
RVB,7/23/2007,70.925
RVB,7/24/2007,71.62083333
RVB,7/25/2007,72.14583333
RVB,7/26/2007,71.97916667
RVB,7/27/2007,71.92173913
RVB,7/28/2007,72.19166667
RVB,7/29/2007,72.34583333
RVB,7/30/2007,72.71666667
RVB,7/31/2007,73.0625
RVB,8/1/2007,73.03333333
RVB,8/2/2007,72.6173913
RVB,8/3/2007,72.17916667
RVB,8/4/2007,72.4125
RVB,8/5/2007,72.2375
RVB,8/6/2007,71.40833333
RVB,8/7/2007,70.77916667
RVB,8/8/2007,70.5375
RVB,8/9/2007,70.39166667
RVB,8/10/2007,70.36666667
RVB,8/11/2007,70.27083333
RVB,8/12/2007,70.05
RVB,8/13/2007,69.98181818
RVB,8/14/2007,70.27083333
RVB,8/15/2007,70.49583333
RVB,8/16/2007,70.45652174
RVB,8/17/2007,70.2875
RVB,8/18/2007,70.23478261
RVB,8/19/2007,69.9875
RVB,8/20/2007,70.27391304
RVB,8/21/2007,70.89565217
RVB,8/22/2007,71.64166667
RVB,8/23/2007,72.07826087
RVB,8/24/2007,72.12608696
RVB,8/25/2007,71.9
RVB,8/26/2007,71.49130435
RVB,8/27/2007,71.45
RVB,8/28/2007,68.85454545
RVB,8/29/2007,72.64347826
RVB,8/30/2007,73.27391304
RVB,8/31/2007,73.86956522
RVB,9/1/2007,74.16956522
RVB,9/2/2007,74.13913043
RVB,9/3/2007,74.03478261
RVB,9/4/2007,73.52608696
RVB,9/5/2007,73
RVB,9/6/2007,72.7826087
RVB,9/7/2007,72.14347826
RVB,9/8/2007,71.21363636
RVB,9/9/2007,70.55
RVB,9/10/2007,69.74347826
RVB,9/11/2007,69.42173913
RVB,9/12/2007,69.11818182
RVB,9/13/2007,68.78695652
RVB,9/14/2007,68.75
RVB,9/15/2007,68.77391304
RVB,9/16/2007,68.56956522
RVB,9/17/2007,68.47826087
RVB,9/18/2007,68.46086957
RVB,9/19/2007,67.95217391
RVB,9/20/2007,67.26956522
RVB,9/21/2007,67
RVB,9/22/2007,66.73478261
RVB,9/23/2007,66.3
RVB,9/24/2007,65.90434783
RVB,9/25/2007,65.68695652
RVB,9/26/2007,65.65909091
RVB,9/27/2007,65.86086957
RVB,9/28/2007,65.63636364
RVB,9/29/2007,64.84583333
RVB,9/30/2007,64.46363636
RVB,10/1/2007,64.52608696
RVB,10/2/2007,64.65217391
RVB,10/3/2007,64.8
RVB,10/4/2007,64.4826087
RVB,10/5/2007,63.77826087
RVB,10/6/2007,63.18695652
RVB,10/7/2007,62.89565217
RVB,10/8/2007,63.07826087
